bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-server/src/main/java/com/flipkart/foxtrot/server/providers/exception/FoxtrotExceptionMapper.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-server/src/main/java/com/flipkart/foxtrot/server/providers/exception/FoxtrotExceptionMapper.java;com.flipkart.foxtrot.server.providers.exception$FoxtrotExceptionMapper;com.flipkart.foxtrot.server.providers.exception$FoxtrotExceptionMapper;15;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, DeleteOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, InsertOperation, MoveOperation, MoveOperation];"[VVR(from=e,to=response), VVR(from=e,to=response), VVR(from=e,to=response), VVR(from=e,to=response), VVR(from=e,to=response), VVR(from=e,to=response)]";[VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement];[18-18, 38-38, 31-31, 33-33, 36-36, 26-26];[74-74, 86-86, 76-76, 73-73, 86-86, 86-86];[34-34, 42-42, 47-47, 49-49, 52-52, 54-54];[74-81, 86-93, 76-83, 73-80, 86-93, 86-93]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-sql/src/main/java/com/flipkart/foxtrot/sql/FqlEngine.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-sql/src/main/java/com/flipkart/foxtrot/sql/FqlEngine.java;com.flipkart.foxtrot.sql$FqlEngine;com.flipkart.foxtrot.sql$FqlEngine;2;[DeleteOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/ActionExecutionException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/ActionExecutionException.java;com.flipkart.foxtrot.core.exception$ActionExecutionException;com.flipkart.foxtrot.core.exception$ActionExecutionException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/UnresolvableActionException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/UnresolvableActionException.java;com.flipkart.foxtrot.core.exception$UnresolvableActionException;com.flipkart.foxtrot.core.exception$UnresolvableActionException;2;[InsertOperation, InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/DataCleanupException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/DataCleanupException.java;com.flipkart.foxtrot.core.exception$DataCleanupException;com.flipkart.foxtrot.core.exception$DataCleanupException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/DocumentMissingException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/DocumentMissingException.java;com.flipkart.foxtrot.core.exception$DocumentMissingException;com.flipkart.foxtrot.core.exception$DocumentMissingException;5;[UpdateOperation, UpdateOperation, DeleteOperation, MoveOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableMissingException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableMissingException.java;com.flipkart.foxtrot.core.exception$TableMissingException;com.flipkart.foxtrot.core.exception$TableMissingException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableExistsException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableExistsException.java;com.flipkart.foxtrot.core.exception$TableExistsException;com.flipkart.foxtrot.core.exception$TableExistsException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/FoxtrotException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/FoxtrotException.java;com.flipkart.foxtrot.core.exception$FoxtrotException;com.flipkart.foxtrot.core.exception$FoxtrotException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/StoreExecutionException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/StoreExecutionException.java;com.flipkart.foxtrot.core.exception$StoreExecutionException;com.flipkart.foxtrot.core.exception$StoreExecutionException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/QueryCreationException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/QueryCreationException.java;com.flipkart.foxtrot.core.exception$QueryCreationException;com.flipkart.foxtrot.core.exception$QueryCreationException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/StoreConnectionException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/StoreConnectionException.java;com.flipkart.foxtrot.core.exception$StoreConnectionException;com.flipkart.foxtrot.core.exception$StoreConnectionException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableInitializationException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/TableInitializationException.java;com.flipkart.foxtrot.core.exception$TableInitializationException;com.flipkart.foxtrot.core.exception$TableInitializationException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/MalformedQueryException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/MalformedQueryException.java;com.flipkart.foxtrot.core.exception$MalformedQueryException;com.flipkart.foxtrot.core.exception$MalformedQueryException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/ActionResolutionException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/ActionResolutionException.java;com.flipkart.foxtrot.core.exception$ActionResolutionException;com.flipkart.foxtrot.core.exception$ActionResolutionException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/BadRequestException.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/exception/BadRequestException.java;com.flipkart.foxtrot.core.exception$BadRequestException;com.flipkart.foxtrot.core.exception$BadRequestException;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/querystore/actions/GroupAction.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/querystore/actions/GroupAction.java;com.flipkart.foxtrot.core.querystore.actions$GroupAction;com.flipkart.foxtrot.core.querystore.actions$GroupAction;2;[DeleteOperation, DeleteOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/querystore/actions/HistogramAction.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/querystore/actions/HistogramAction.java;com.flipkart.foxtrot.core.querystore.actions$HistogramAction;com.flipkart.foxtrot.core.querystore.actions$HistogramAction;2;[DeleteOperation, DeleteOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/querystore/actions/FilterAction.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/querystore/actions/FilterAction.java;com.flipkart.foxtrot.core.querystore.actions$FilterAction;com.flipkart.foxtrot.core.querystore.actions$FilterAction;15;[DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, InsertOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation, MoveOperation];"[SD(deleted=response = search.execute().actionGet())]";[StatementDeletion];[105-105];[13-52];[90-102];[9-9]
bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/pre_bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/querystore/actions/TrendAction.java;bugswarm-sandbox/bugs/Flipkart/foxtrot/97843462/bug/foxtrot-core/src/main/java/com/flipkart/foxtrot/core/querystore/actions/TrendAction.java;com.flipkart.foxtrot.core.querystore.actions$TrendAction;com.flipkart.foxtrot.core.querystore.actions$TrendAction;2;[DeleteOperation, DeleteOperation];"[]";[];[];[];[];[]
