bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/AbstractMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/AbstractMatrix.java;org.la4j.matrix$AbstractMatrix;org.la4j.matrix$AbstractMatrix;12;[UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, UpdateOperation, DeleteOperation, DeleteOperation, DeleteOperation, InsertOperation, MoveOperation];"[VVR(from=vector,to=that), VVR(from=result,to=that), VVR(from=vector,to=that), VVR(from=vector,to=that), VVR(from=vector,to=that), SD(deleted=return result)]";[VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, VarToVarReplacement, StatementDeletion];[437-437, 453-453, 439-439, 462-462, 440-440, 456-456];[33-38, 13-18, 24-29, 25-30, 44-49, 9-22];[437-437, 443-443, 439-439, 449-449, 440-440, 436-444];[33-36, 78-81, 24-27, 25-28, 44-47, 5-19]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/dense/DenseMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/dense/DenseMatrix.java;org.la4j.matrix.dense$DenseMatrix;org.la4j.matrix.dense$DenseMatrix;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/Matrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/Matrix.java;org.la4j.matrix$Matrix;org.la4j.matrix$Matrix;3;[UpdateOperation, UpdateOperation, InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/operation/ooplace/OoPlaceMatricesAddition.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/operation/ooplace/OoPlaceMatricesAddition.java;org.la4j.matrix.operation.ooplace$OoPlaceMatricesAddition;org.la4j.matrix.operation.ooplace$OoPlaceMatricesAddition;0;[];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/sparse/RowMajorSparseMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/sparse/RowMajorSparseMatrix.java;org.la4j.matrix.sparse$RowMajorSparseMatrix;org.la4j.matrix.sparse$RowMajorSparseMatrix;2;[InsertOperation, InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/sparse/CCSMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/sparse/CCSMatrix.java;org.la4j.matrix.sparse$CCSMatrix;org.la4j.matrix.sparse$CCSMatrix;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/sparse/ColumnMajorSparseMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/sparse/ColumnMajorSparseMatrix.java;org.la4j.matrix.sparse$ColumnMajorSparseMatrix;org.la4j.matrix.sparse$ColumnMajorSparseMatrix;2;[InsertOperation, InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/matrix/sparse/CRSMatrix.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/matrix/sparse/CRSMatrix.java;org.la4j.matrix.sparse$CRSMatrix;org.la4j.matrix.sparse$CRSMatrix;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/LinearAlgebra.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/LinearAlgebra.java;org.la4j$LinearAlgebra;org.la4j$LinearAlgebra;1;[InsertOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/iterator/CursorIterator.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/iterator/CursorIterator.java;org.la4j.iterator$CursorIterator;org.la4j.iterator$CursorIterator;2;[MoveOperation, MoveOperation];"[]";[];[];[];[];[]
bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/pre_bug/src/main/java/org/la4j/vector/operation/ooplace/OoPlaceVectorByMatrixMultiplication.java;bugswarm-sandbox/bugs/vkostyukov/la4j/45524418/bug/src/main/java/org/la4j/vector/operation/ooplace/OoPlaceVectorByMatrixMultiplication.java;org.la4j.vector.operation.ooplace$OoPlaceVectorByMatrixMultiplication;org.la4j.vector.operation.ooplace$OoPlaceVectorByMatrixMultiplication;0;[];"[]";[];[];[];[];[]
